dislserver: server starting
dislserver: listening on 0.0.0.0:11217
dislserver: server started
dislserver: connection from /0:0:0:0:0:0:0:1:50563
disl: excluding method: java/lang/Object.<init>(()V)
disl: excluding method: java/lang/Object.equals((Ljava/lang/Object;)Z)
disl: excluding method: java/lang/Object.toString(()Ljava/lang/String;)
disl: excluding method: java/lang/Object.wait((JI)V)
disl: excluding method: java/lang/Object.wait(()V)
disl: excluding method: java/lang/Object.finalize(()V)
disl: excluding method: java/lang/Object.<clinit>(()V)
disl: excluding method: java/lang/String.<init>(()V)
disl: excluding method: java/lang/String.<init>((Ljava/lang/String;)V)
disl: excluding method: java/lang/String.<init>(([C)V)
disl: excluding method: java/lang/String.<init>(([CII)V)
disl: excluding method: java/lang/String.<init>(([III)V)
disl: excluding method: java/lang/String.<init>(([BIII)V)
disl: excluding method: java/lang/String.<init>(([BI)V)
disl: excluding method: java/lang/String.checkBounds(([BII)V)
disl: excluding method: java/lang/String.<init>(([BIILjava/lang/String;)V)
disl: excluding method: java/lang/String.<init>(([BIILjava/nio/charset/Charset;)V)
disl: excluding method: java/lang/String.<init>(([BLjava/lang/String;)V)
disl: excluding method: java/lang/String.<init>(([BLjava/nio/charset/Charset;)V)
disl: excluding method: java/lang/String.<init>(([BII)V)
disl: excluding method: java/lang/String.<init>(([B)V)
disl: excluding method: java/lang/String.<init>((Ljava/lang/StringBuffer;)V)
disl: excluding method: java/lang/String.<init>((Ljava/lang/StringBuilder;)V)
disl: excluding method: java/lang/String.<init>(([CZ)V)
disl: excluding method: java/lang/String.length(()I)
disl: excluding method: java/lang/String.isEmpty(()Z)
disl: excluding method: java/lang/String.charAt((I)C)
disl: excluding method: java/lang/String.codePointAt((I)I)
disl: excluding method: java/lang/String.codePointBefore((I)I)
disl: excluding method: java/lang/String.codePointCount((II)I)
disl: excluding method: java/lang/String.offsetByCodePoints((II)I)
disl: excluding method: java/lang/String.getChars(([CI)V)
disl: excluding method: java/lang/String.getChars((II[CI)V)
disl: excluding method: java/lang/String.getBytes((II[BI)V)
disl: excluding method: java/lang/String.getBytes((Ljava/lang/String;)[B)
disl: excluding method: java/lang/String.getBytes((Ljava/nio/charset/Charset;)[B)
disl: excluding method: java/lang/String.getBytes(()[B)
disl: excluding method: java/lang/String.equals((Ljava/lang/Object;)Z)
disl: excluding method: java/lang/String.contentEquals((Ljava/lang/StringBuffer;)Z)
disl: excluding method: java/lang/String.nonSyncContentEquals((Ljava/lang/AbstractStringBuilder;)Z)
disl: excluding method: java/lang/String.contentEquals((Ljava/lang/CharSequence;)Z)
disl: excluding method: java/lang/String.equalsIgnoreCase((Ljava/lang/String;)Z)
disl: excluding method: java/lang/String.compareTo((Ljava/lang/String;)I)
disl: excluding method: java/lang/String.compareToIgnoreCase((Ljava/lang/String;)I)
disl: excluding method: java/lang/String.regionMatches((ILjava/lang/String;II)Z)
disl: excluding method: java/lang/String.regionMatches((ZILjava/lang/String;II)Z)
disl: excluding method: java/lang/String.startsWith((Ljava/lang/String;I)Z)
disl: excluding method: java/lang/String.startsWith((Ljava/lang/String;)Z)
disl: excluding method: java/lang/String.endsWith((Ljava/lang/String;)Z)
disl: excluding method: java/lang/String.hashCode(()I)
disl: excluding method: java/lang/String.indexOf((I)I)
disl: excluding method: java/lang/String.indexOf((II)I)
disl: excluding method: java/lang/String.indexOfSupplementary((II)I)
disl: excluding method: java/lang/String.lastIndexOf((I)I)
disl: excluding method: java/lang/String.lastIndexOf((II)I)
disl: excluding method: java/lang/String.lastIndexOfSupplementary((II)I)
disl: excluding method: java/lang/String.indexOf((Ljava/lang/String;)I)
disl: excluding method: java/lang/String.indexOf((Ljava/lang/String;I)I)
disl: excluding method: java/lang/String.indexOf(([CIILjava/lang/String;I)I)
disl: excluding method: java/lang/String.indexOf(([CII[CIII)I)
disl: excluding method: java/lang/String.lastIndexOf((Ljava/lang/String;)I)
disl: excluding method: java/lang/String.lastIndexOf((Ljava/lang/String;I)I)
disl: excluding method: java/lang/String.lastIndexOf(([CIILjava/lang/String;I)I)
disl: excluding method: java/lang/String.lastIndexOf(([CII[CIII)I)
disl: excluding method: java/lang/String.substring((I)Ljava/lang/String;)
disl: excluding method: java/lang/String.substring((II)Ljava/lang/String;)
disl: excluding method: java/lang/String.subSequence((II)Ljava/lang/CharSequence;)
disl: excluding method: java/lang/String.concat((Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/String.replace((CC)Ljava/lang/String;)
disl: excluding method: java/lang/String.matches((Ljava/lang/String;)Z)
disl: excluding method: java/lang/String.contains((Ljava/lang/CharSequence;)Z)
disl: excluding method: java/lang/String.replaceFirst((Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/String.replaceAll((Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;)
disl: excluding method: java/lang/String.replace((Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Ljava/lang/String;)
disl: excluding method: java/lang/String.split((Ljava/lang/String;I)[Ljava/lang/String;)
disl: excluding method: java/lang/String.split((Ljava/lang/String;)[Ljava/lang/String;)
disl: excluding method: java/lang/String.join((Ljava/lang/CharSequence;[Ljava/lang/CharSequence;)Ljava/lang/String;)
disl: excluding method: java/lang/String.join((Ljava/lang/CharSequence;Ljava/lang/Iterable;)Ljava/lang/String;)
disl: excluding method: java/lang/String.toLowerCase((Ljava/util/Locale;)Ljava/lang/String;)
disl: excluding method: java/lang/String.toLowerCase(()Ljava/lang/String;)
disl: excluding method: java/lang/String.toUpperCase((Ljava/util/Locale;)Ljava/lang/String;)
disl: excluding method: java/lang/String.toUpperCase(()Ljava/lang/String;)
disl: excluding method: java/lang/String.trim(()Ljava/lang/String;)
disl: excluding method: java/lang/String.toString(()Ljava/lang/String;)
disl: excluding method: java/lang/String.toCharArray(()[C)
disl: excluding method: java/lang/String.format((Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;)
disl: excluding method: java/lang/String.format((Ljava/util/Locale;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((Ljava/lang/Object;)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf(([C)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf(([CII)Ljava/lang/String;)
disl: excluding method: java/lang/String.copyValueOf(([CII)Ljava/lang/String;)
disl: excluding method: java/lang/String.copyValueOf(([C)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((Z)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((C)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((I)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((J)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((F)Ljava/lang/String;)
disl: excluding method: java/lang/String.valueOf((D)Ljava/lang/String;)
disl: excluding method: java/lang/String.compareTo((Ljava/lang/Object;)I)
disl: excluding method: java/lang/String.<clinit>(()V)
disl: excluding method: java/lang/CharSequence.chars(()Ljava/util/stream/IntStream;)
disl: excluding method: java/lang/CharSequence.codePoints(()Ljava/util/stream/IntStream;)
